road_id,day,hour,vehicle_count,traffic_density,avg_speed,road_length_km,signal_delay_min,travel_time_minutes
R11,Thu,14,76,0.413,45.75,2.1,1.89,5.01
R10,Tue,6,37,0.244,52.8,2.2,0.97,4.47
R12,Sun,12,20,0.101,51.76,2.3,1.53,4.49
R09,Mon,16,65,0.301,47.77,2.4,2.5,5.03
R07,Mon,7,69,0.387,43.8,2.3,2.23,4.05
R05,Fri,11,44,0.24,49.38,2.1,2.29,4.57
R08,Thu,7,71,0.36,42.42,2.0,2.45,4.28
R04,Sat,11,5,0.076,57.1,2.6,2.09,5.17
R12,Sat,18,25,0.082,53.49,2.3,1.26,4.14
R12,Wed,21,67,0.345,40.83,2.3,1.78,5.04
R10,Thu,23,55,0.294,45.7,2.2,1.87,4.52
R06,Wed,23,57,0.368,40.17,2.4,2.29,6.26
R04,Thu,16,42,0.36,45.36,2.6,1.79,5.12
R04,Wed,8,115,0.682,33.36,2.6,3.25,9.43
R06,Fri,4,70,0.364,44.26,2.4,2.64,5.8
R04,Fri,18,130,0.671,31.34,2.6,2.61,7.46
R06,Wed,1,27,0.197,53.67,2.4,1.43,4.15
R06,Fri,14,41,0.253,42.62,2.4,1.34,4.71
R06,Sat,0,19,0.179,56.07,2.4,1.23,4.11
R12,Wed,1,60,0.344,40.53,2.3,2.84,5.75
R05,Mon,2,77,0.4,42.96,2.1,1.99,4.4
R02,Wed,23,44,0.181,54.59,2.0,2.61,5.63
R09,Mon,8,142,0.799,20.42,2.4,3.7,11.36
R08,Sun,2,31,0.228,47.32,2.0,1.83,2.99
R12,Mon,3,31,0.081,56.29,2.3,1.41,3.1
R01,Tue,4,43,0.172,49.64,2.5,0.95,4.08
R03,Fri,19,131,0.77,22.37,2.2,3.33,10.0
R09,Wed,14,30,0.182,47.69,2.4,1.9,6.26
R11,Sat,3,26,0.138,52.71,2.1,1.11,3.65
R06,Tue,9,156,0.831,20.59,2.4,3.53,10.34
R04,Mon,15,79,0.433,40.86,2.6,2.0,6.29
R07,Thu,9,110,0.714,28.72,2.3,3.17,8.59
R07,Mon,11,42,0.19,52.67,2.3,1.1,4.24
R11,Tue,16,24,0.194,51.58,2.1,2.34,6.41
R08,Tue,18,87,0.432,44.52,2.0,2.32,5.15
R02,Thu,7,77,0.587,33.83,2.0,3.25,8.03
R01,Fri,22,21,0.079,57.83,2.5,1.2,4.07
R02,Fri,5,56,0.348,46.15,2.0,2.03,4.73
R02,Wed,10,117,0.644,33.5,2.0,2.77,6.19
R03,Mon,20,54,0.276,48.21,2.2,1.59,3.89
R11,Thu,5,24,0.266,43.54,2.1,1.92,5.19
R02,Mon,9,153,0.827,25.1,2.0,4.0,8.51
R05,Thu,12,44,0.252,53.81,2.1,2.26,4.44
R09,Sat,2,38,0.104,55.19,2.4,1.38,4.84
R05,Sun,13,44,0.246,52.77,2.1,1.83,4.26
R03,Thu,2,62,0.253,51.34,2.2,0.67,4.87
R06,Thu,11,34,0.164,51.28,2.4,1.63,3.8
R05,Thu,8,140,0.908,17.2,2.1,3.38,9.49
R12,Thu,11,59,0.451,36.72,2.3,2.85,7.03
R10,Fri,20,53,0.304,49.33,2.2,0.56,3.78
R04,Fri,12,59,0.456,39.64,2.6,2.38,6.29
R02,Sun,3,17,0.093,52.79,2.0,1.27,3.31
R12,Tue,19,112,0.619,38.09,2.3,3.64,6.2
R08,Wed,13,35,0.241,53.71,2.0,1.09,3.82
R04,Sat,10,69,0.43,44.46,2.6,2.65,5.26
R12,Mon,10,110,0.485,43.58,2.3,2.07,4.41
R02,Tue,4,61,0.315,49.08,2.0,1.98,3.56
R12,Fri,14,26,0.15,57.92,2.3,0.83,2.04
R10,Wed,12,55,0.258,47.48,2.2,2.43,4.91
R10,Mon,9,90,0.491,40.88,2.2,3.07,8.37
R07,Fri,23,74,0.423,47.69,2.3,2.93,6.16
R01,Mon,8,128,0.58,36.73,2.5,3.15,6.01
R01,Mon,0,71,0.367,43.81,2.5,1.53,5.25
R04,Fri,8,173,0.955,17.47,2.6,5.15,13.19
R03,Tue,22,66,0.381,39.54,2.2,2.31,5.58
R05,Sat,6,5,0.05,55.36,2.1,0.46,2.15
R12,Fri,8,118,0.719,28.2,2.3,2.38,7.9
R08,Tue,22,71,0.268,48.12,2.0,1.62,3.32
R09,Fri,17,152,0.789,26.2,2.4,2.7,10.13
R05,Wed,16,50,0.306,49.48,2.1,2.33,5.25
R05,Mon,15,50,0.291,49.87,2.1,2.7,6.04
R09,Thu,15,58,0.179,51.48,2.4,1.99,5.41
R05,Fri,18,165,0.91,17.54,2.1,3.97,11.56
R02,Sat,9,12,0.072,57.57,2.0,0.54,1.5
R03,Sun,9,60,0.347,36.15,2.2,1.81,5.22
R08,Sat,22,50,0.239,48.15,2.0,1.21,3.65
R07,Sat,16,38,0.134,54.76,2.3,2.13,3.3
R01,Thu,16,74,0.396,44.22,2.5,2.06,5.16
R12,Sat,5,33,0.216,47.66,2.3,2.07,5.16
R10,Thu,4,47,0.283,49.98,2.2,2.3,5.11
R02,Wed,21,47,0.218,52.7,2.0,2.55,4.28
R08,Wed,9,134,0.715,26.31,2.0,3.62,8.52
R01,Tue,9,81,0.489,45.95,2.5,2.6,7.18
R06,Sat,7,55,0.383,48.19,2.4,1.81,5.01
R02,Thu,1,35,0.184,51.89,2.0,1.88,4.29
R07,Sun,14,41,0.15,47.79,2.3,0.28,2.77
R09,Fri,14,34,0.192,52.9,2.4,0.8,3.09
R07,Fri,2,73,0.377,43.24,2.3,2.37,5.67
R03,Sun,6,22,0.154,48.08,2.2,1.43,3.21
R07,Thu,8,129,0.755,26.89,2.3,3.32,8.4
R07,Mon,22,74,0.391,41.11,2.3,1.81,5.56
R11,Sun,11,31,0.174,54.01,2.1,1.29,3.45
R11,Fri,18,125,0.584,28.56,2.1,3.51,9.28
R04,Wed,18,128,0.658,28.84,2.6,3.06,9.14
R10,Tue,16,24,0.155,54.18,2.2,1.22,3.89
R04,Mon,20,28,0.13,50.42,2.6,1.48,4.86
R03,Mon,13,76,0.415,39.52,2.2,2.09,4.84
R12,Sun,2,26,0.065,58.48,2.3,2.21,3.47
R02,Sun,21,5,0.05,60.0,2.0,0.2,3.46
R06,Sun,23,6,0.066,52.86,2.4,0.78,3.92
R08,Wed,0,44,0.252,47.65,2.0,1.45,3.73
R02,Mon,20,22,0.133,50.28,2.0,1.49,4.18
R11,Mon,22,57,0.34,47.23,2.1,2.94,5.01
R09,Sat,3,5,0.05,55.24,2.4,0.9,2.96
R04,Sun,8,5,0.05,60.0,2.6,0.84,4.44
R02,Sun,4,29,0.214,51.08,2.0,1.48,4.2
R11,Mon,7,40,0.194,53.14,2.1,2.25,4.51
R03,Tue,13,46,0.221,50.39,2.2,1.83,5.98
R05,Thu,15,21,0.152,53.29,2.1,2.07,3.89
R10,Tue,0,40,0.192,56.27,2.2,1.7,4.38
R08,Fri,11,20,0.081,56.13,2.0,1.79,4.39
R03,Mon,1,34,0.297,44.35,2.2,2.33,5.45
R07,Sun,17,54,0.259,48.84,2.3,1.83,4.96
R09,Tue,12,48,0.238,49.82,2.4,2.49,6.98
R01,Tue,10,102,0.458,36.27,2.5,2.46,6.85
R06,Mon,10,97,0.448,42.72,2.4,2.11,5.58
R03,Thu,10,86,0.48,41.62,2.2,2.48,5.93
R07,Wed,15,51,0.219,48.36,2.3,1.74,4.03
R11,Sun,10,63,0.383,45.58,2.1,1.35,3.5
R10,Wed,21,31,0.206,48.93,2.2,2.05,5.02
R12,Tue,12,62,0.381,41.4,2.3,2.66,5.46
R03,Wed,10,96,0.563,38.3,2.2,2.79,6.28
R08,Sat,15,57,0.331,42.34,2.0,2.31,6.13
R04,Sat,4,31,0.235,50.7,2.6,1.57,3.8
R02,Fri,16,48,0.262,46.69,2.0,1.81,4.78
R10,Sun,1,13,0.05,55.59,2.2,1.04,2.63
R01,Wed,13,42,0.294,50.47,2.5,1.09,4.58
R09,Tue,7,23,0.157,53.94,2.4,0.62,4.46
R06,Tue,6,44,0.262,49.6,2.4,2.07,5.33
R05,Wed,12,44,0.258,50.6,2.1,1.63,4.22
R04,Sun,7,16,0.203,42.52,2.6,2.04,6.56
R11,Sat,13,49,0.276,50.81,2.1,2.54,6.07
R11,Sun,20,68,0.421,39.15,2.1,2.19,5.97
R05,Tue,12,59,0.326,50.64,2.1,1.66,5.6
R01,Wed,5,54,0.248,48.61,2.5,2.23,5.95
R01,Fri,14,42,0.257,47.65,2.5,1.48,4.3
R03,Sat,1,31,0.197,50.55,2.2,1.49,2.28
R11,Wed,7,79,0.396,42.47,2.1,1.65,4.88
R07,Tue,22,44,0.261,49.54,2.3,2.59,5.74
R01,Sat,20,54,0.311,49.91,2.5,1.13,4.28
R08,Sun,19,39,0.155,54.86,2.0,0.82,3.19
R04,Thu,18,112,0.606,31.33,2.6,2.62,7.25
R11,Fri,15,74,0.339,42.23,2.1,2.34,4.74
R07,Wed,14,65,0.425,42.99,2.3,3.84,7.08
R10,Sat,4,14,0.053,53.58,2.2,0.87,4.02
R12,Mon,18,95,0.477,39.02,2.3,2.55,6.42
R04,Mon,23,54,0.329,44.59,2.6,2.17,5.19
R03,Fri,7,45,0.259,48.46,2.2,2.18,4.96
R06,Mon,0,77,0.462,39.08,2.4,3.03,6.81
R03,Wed,22,69,0.297,50.98,2.2,2.33,4.81
R10,Sun,11,13,0.098,55.09,2.2,1.91,5.23
R09,Wed,15,68,0.453,41.49,2.4,1.85,6.8
R12,Thu,13,73,0.318,46.03,2.3,1.19,3.28
R10,Mon,6,20,0.124,54.27,2.2,1.95,5.53
R12,Sat,19,5,0.05,54.65,2.3,1.77,3.58
R10,Sun,9,30,0.201,52.21,2.2,1.41,4.4
R11,Fri,23,34,0.226,50.39,2.1,2.36,4.19
R09,Mon,21,22,0.187,50.33,2.4,1.69,3.43
R03,Sat,10,33,0.083,59.47,2.2,1.6,3.59
R03,Wed,7,73,0.38,45.59,2.2,1.86,6.78
R05,Tue,11,64,0.374,40.01,2.1,1.06,3.93
R02,Mon,6,65,0.35,46.39,2.0,2.29,4.81
R03,Sat,19,38,0.34,42.84,2.2,2.22,6.62
R10,Fri,9,109,0.686,33.07,2.2,3.88,8.46
R08,Fri,20,36,0.202,48.67,2.0,1.83,3.76
R12,Fri,15,35,0.289,49.37,2.3,2.38,5.28
R09,Sun,10,23,0.105,59.1,2.4,1.35,4.47
R10,Mon,12,44,0.219,51.81,2.2,1.8,4.29
R07,Tue,15,50,0.223,54.84,2.3,1.28,4.04
R02,Sat,1,21,0.066,53.37,2.0,1.78,4.66
R08,Thu,3,72,0.35,44.14,2.0,1.07,5.44
R12,Wed,5,56,0.19,51.37,2.3,1.53,5.11
R01,Mon,16,61,0.326,44.82,2.5,1.24,5.78
R03,Thu,8,105,0.664,27.68,2.2,3.27,7.31
R08,Mon,10,107,0.614,39.85,2.0,2.84,6.52
R07,Tue,6,47,0.278,44.14,2.3,2.24,5.04
R08,Tue,10,85,0.471,41.26,2.0,3.11,6.46
R05,Sun,6,12,0.05,55.25,2.1,0.81,3.48
R05,Sat,17,33,0.165,54.32,2.1,1.77,4.95
R06,Thu,10,149,0.891,21.58,2.4,3.51,12.11
R05,Tue,8,141,0.814,18.83,2.1,3.44,9.6
R10,Fri,19,124,0.763,24.63,2.2,3.73,9.27
R04,Thu,2,28,0.186,49.72,2.6,1.1,4.44
R11,Tue,18,128,0.775,23.64,2.1,2.89,8.39
R11,Mon,14,31,0.166,46.89,2.1,1.22,3.98
R06,Sat,18,14,0.094,54.9,2.4,0.46,3.04
R12,Sun,3,59,0.336,45.01,2.3,2.28,4.88
R01,Sun,20,11,0.05,60.0,2.5,1.47,6.42
R09,Sun,4,32,0.116,55.4,2.4,0.57,4.2
R04,Wed,2,27,0.066,55.21,2.6,1.58,4.57
R06,Mon,18,122,0.65,31.89,2.4,3.73,8.2
R01,Fri,23,63,0.448,34.01,2.5,1.96,6.51
R05,Wed,13,45,0.291,47.31,2.1,2.1,4.59
R09,Thu,6,44,0.239,48.61,2.4,1.28,3.58
R05,Sun,15,40,0.276,51.11,2.1,2.52,5.5
